wheel_base,length,width,height,curb_weight,engine_size,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price,make_encoded,encoded_aspiration_1,encoded_aspiration_2,encoded_fuel_type_1,encoded_fuel_type_2,encoded_num_of_doors_1,encoded_num_of_doors_2,encoded_body_style_1,encoded_body_style_2,encoded_body_style_3,encoded_body_style_4,encoded_body_style_5,encoded_drive_wheels_1,encoded_drive_wheels_2,encoded_drive_wheels_3,encoded_engine_type_1,encoded_engine_type_2,encoded_engine_type_3,encoded_engine_type_4,encoded_engine_type_5,encoded_engine_type_6,encoded_num_of_cylinders_1,encoded_num_of_cylinders_2,encoded_num_of_cylinders_3,encoded_num_of_cylinders_4,encoded_fuel_system_1,encoded_fuel_system_2,encoded_fuel_system_3,encoded_fuel_system_4
102.0,191.7,70.6,47.8,3950,119.5,3.54,2.76,9.0,95.0,5000.0,13,17,10221.5,11188.139722283355,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
93.1,159.1,64.2,54.1,1890,91.0,3.03,3.15,9.0,68.0,5000.0,30,31,5195.0,11035.28163835262,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
93.1,159.1,64.2,54.1,1900,91.0,3.03,3.15,9.0,68.0,5000.0,31,38,6095.0,11035.28163835262,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
93.1,166.8,64.2,54.1,1945,91.0,3.03,3.15,9.0,68.0,5000.0,31,38,6695.0,11035.28163835262,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
93.1,166.8,64.2,54.1,1950,91.0,3.08,3.15,9.0,68.0,5000.0,31,38,7395.0,11035.28163835262,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
95.3,169.0,65.7,49.6,2380,70.0,3.342142857142857,3.2741428571428512,9.4,101.0,6000.0,17,23,11845.0,11035.28163835262,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
95.3,169.0,65.7,49.6,2385,70.0,3.342142857142857,3.2741428571428512,9.4,101.0,6000.0,17,23,13645.0,11035.28163835262,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
95.3,169.0,65.7,49.6,2500,80.0,3.342142857142857,3.2741428571428512,9.4,135.0,6000.0,16,23,15645.0,11035.28163835262,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
98.8,177.8,66.5,53.7,2385,122.0,3.39,3.39,8.6,84.0,4800.0,26,32,8845.0,11035.28163835262,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
98.8,177.8,66.5,55.5,2410,122.0,3.39,3.39,8.6,84.0,4800.0,26,32,8495.0,11035.28163835262,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
98.8,177.8,66.5,55.5,2410,122.0,3.39,3.39,8.6,84.0,4800.0,26,32,10245.0,11035.28163835262,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
98.8,177.8,66.5,55.5,2425,122.0,3.39,3.39,8.6,84.0,4800.0,26,32,11245.0,11035.28163835262,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
104.9,175.0,66.1,54.4,2670,140.0,3.76,3.16,8.0,120.0,5000.0,19,27,18280.0,11035.28163835262,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
110.0,190.9,70.3,56.5,3515,183.0,3.58,3.64,9.0,123.0,4350.0,22,25,25552.0,12830.286683418713,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
110.0,190.9,70.3,58.7,3750,183.0,3.58,3.64,9.0,123.0,4350.0,22,25,28248.0,12830.286683418713,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
106.7,187.5,70.3,54.9,3495,183.0,3.58,3.64,9.0,123.0,4350.0,22,25,28176.0,12830.286683418713,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
115.6,202.6,71.7,56.3,3770,183.0,3.58,3.64,9.0,123.0,4350.0,22,25,10221.5,12830.286683418713,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
96.6,180.3,70.5,50.8,3685,119.5,3.46,3.1,8.3,155.0,4750.0,16,18,10221.5,12830.286683418713,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
120.9,208.1,71.7,56.7,3900,119.5,3.8,3.35,8.0,95.0,4500.0,14,16,10221.5,12830.286683418713,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
93.7,157.3,64.4,50.8,1944,92.0,2.97,3.23,9.4,68.0,5500.0,31,38,6189.0,10726.065914702056,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
93.7,157.3,64.4,50.8,2004,92.0,2.97,3.23,9.4,68.0,5500.0,31,38,6669.0,10726.065914702056,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
93.0,157.3,63.8,50.8,2145,98.0,3.03,3.39,7.6,102.0,5500.0,24,30,7689.0,10726.065914702056,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
96.3,173.0,65.4,49.4,2328,122.0,3.35,3.46,8.5,88.0,5000.0,25,32,8499.0,10726.065914702056,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
95.9,173.2,66.3,50.2,2833,156.0,3.58,3.86,7.0,145.0,5000.0,19,24,12629.0,10726.065914702056,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
95.9,173.2,66.3,50.2,2926,156.0,3.59,3.86,7.0,145.0,5000.0,19,24,14489.0,10726.065914702056,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
96.3,172.4,65.4,51.6,2365,122.0,3.35,3.46,8.5,88.0,5000.0,25,32,6989.0,10726.065914702056,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
96.3,172.4,65.4,51.6,2405,122.0,3.35,3.46,8.5,88.0,5000.0,25,32,8189.0,10726.065914702056,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
96.3,172.4,65.4,51.6,2403,110.0,3.17,3.46,7.5,116.0,5500.0,23,30,9279.0,10726.065914702056,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
96.3,172.4,65.4,51.6,2403,110.0,3.17,3.46,7.5,116.0,5500.0,23,30,9279.0,10726.065914702056,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
94.5,165.3,63.8,54.5,1918,97.0,3.15,3.29,9.4,69.0,5200.0,31,37,6649.0,10974.097176133138,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
94.5,170.2,63.8,53.5,2024,97.0,3.15,3.29,9.4,69.0,5200.0,31,37,7349.0,10974.097176133138,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
94.5,165.3,63.8,54.5,1951,97.0,3.15,3.29,9.4,69.0,5200.0,31,37,7299.0,10974.097176133138,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
94.5,165.6,63.8,53.3,2028,97.0,3.15,3.29,9.4,69.0,5200.0,31,37,7799.0,10974.097176133138,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
94.5,165.3,63.8,54.5,1971,97.0,3.15,3.29,9.4,69.0,5200.0,31,37,7499.0,10974.097176133138,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
94.5,170.2,63.8,53.5,2037,97.0,3.15,3.29,9.4,69.0,5200.0,31,37,7999.0,10974.097176133138,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
95.1,162.4,63.8,53.3,2008,97.0,3.15,3.29,9.4,69.0,5200.0,31,37,8249.0,10974.097176133138,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
97.2,173.4,65.2,54.7,2324,120.0,3.33,3.47,8.5,97.0,5200.0,27,34,8949.0,10974.097176133138,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
97.2,173.4,65.2,54.7,2302,120.0,3.33,3.47,8.5,97.0,5200.0,27,34,9549.0,10974.097176133138,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
100.4,181.7,66.5,55.1,3095,181.0,3.43,3.27,9.0,152.0,5200.0,17,22,13499.0,10974.097176133138,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
100.4,184.6,66.5,56.1,3296,181.0,3.43,3.27,9.0,152.0,5200.0,17,22,14399.0,10974.097176133138,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
100.4,184.6,66.5,55.1,3060,181.0,3.43,3.27,9.0,152.0,5200.0,19,25,13499.0,10974.097176133138,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
91.3,170.7,67.9,49.7,3139,181.0,3.43,3.27,7.8,95.0,5200.0,17,23,19699.0,10974.097176133138,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
107.9,186.7,68.4,56.7,3020,120.0,3.46,3.19,8.4,97.0,5000.0,19,24,11900.0,12358.761364139424,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
107.9,186.7,68.4,56.7,3197,152.0,3.7,3.52,9.0,95.0,4150.0,28,33,13200.0,12358.761364139424,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
114.2,198.9,68.4,58.7,3230,120.0,3.46,3.19,8.4,97.0,5000.0,19,24,12440.0,12358.761364139424,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
114.2,198.9,68.4,58.7,3430,152.0,3.7,3.52,9.0,95.0,4150.0,25,25,13860.0,12358.761364139424,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
107.9,186.7,68.4,56.7,3252,152.0,3.7,3.52,9.0,95.0,4150.0,28,33,16900.0,12358.761364139424,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
114.2,198.9,68.4,58.7,3485,152.0,3.7,3.52,9.0,95.0,4150.0,25,25,17075.0,12358.761364139424,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
107.9,186.7,68.4,56.7,3075,120.0,3.46,3.19,8.4,97.0,5000.0,19,24,16630.0,12358.761364139424,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
107.9,186.7,68.4,56.7,3252,152.0,3.7,3.52,9.0,95.0,4150.0,28,33,17950.0,12358.761364139424,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
108.0,186.7,68.3,56.0,3130,134.0,3.61,3.21,7.0,142.0,5600.0,18,24,18150.0,12358.761364139424,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
93.7,157.3,63.8,50.8,1918,90.0,2.97,3.23,9.4,68.0,5500.0,37,41,5572.0,10703.582153987978,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
93.7,157.3,63.8,50.8,2128,98.0,3.03,3.39,7.6,102.0,5500.0,24,30,7957.0,10703.582153987978,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
93.7,157.3,63.8,50.6,1967,90.0,2.97,3.23,9.4,68.0,5500.0,31,38,6229.0,10703.582153987978,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
93.7,167.3,63.8,50.8,1989,90.0,2.97,3.23,9.4,68.0,5500.0,31,38,6692.0,10703.582153987978,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
103.3,174.6,64.6,59.8,2535,122.0,3.35,3.46,8.5,88.0,5000.0,24,30,8921.0,10703.582153987978,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
95.9,173.2,66.3,50.2,2818,156.0,3.59,3.86,7.0,145.0,5000.0,19,24,12764.0,10703.582153987978,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
89.5,168.9,65.0,51.6,2756,194.0,3.74,2.9,9.5,95.0,5900.0,17,25,10221.5,11188.139722283355,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
89.5,168.9,65.0,51.6,2756,194.0,3.74,2.9,9.5,95.0,5900.0,17,25,10221.5,11188.139722283355,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
89.5,168.9,65.0,51.6,2800,194.0,3.74,2.9,9.5,95.0,5900.0,17,25,10221.5,11188.139722283355,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
99.1,186.6,66.5,56.1,2658,121.0,3.54,3.07,9.31,110.0,5250.0,21,28,11850.0,11804.739316285979,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
99.1,186.6,66.5,56.1,2695,121.0,3.54,3.07,9.3,110.0,5250.0,21,28,12170.0,11804.739316285979,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
99.1,186.6,66.5,56.1,2847,121.0,3.54,3.07,9.0,160.0,5500.0,19,26,18620.0,11804.739316285979,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
93.7,157.9,63.6,53.7,2120,108.0,3.62,2.64,8.7,73.0,4400.0,26,31,7053.0,10599.30309139629,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
93.3,157.3,63.8,55.7,2240,108.0,3.62,2.64,8.7,73.0,4400.0,26,31,7603.0,10599.30309139629,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
97.2,172.0,65.4,52.5,2145,108.0,3.62,2.64,9.5,82.0,4800.0,32,37,7126.0,10599.30309139629,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
97.2,172.0,65.4,52.5,2190,108.0,3.62,2.64,9.5,82.0,4400.0,28,33,7775.0,10599.30309139629,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
97.0,172.0,65.4,54.3,2385,108.0,3.62,2.64,9.0,82.0,4800.0,24,25,9233.0,10599.30309139629,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
97.0,173.5,65.4,53.0,2290,108.0,3.62,2.64,9.0,82.0,4800.0,28,32,7463.0,10599.30309139629,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
97.0,173.5,65.4,53.0,2455,108.0,3.62,2.64,9.0,94.0,5200.0,25,31,10198.0,10599.30309139629,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
96.9,173.6,65.4,54.9,2420,108.0,3.62,2.64,9.0,82.0,4800.0,23,29,8013.0,10599.30309139629,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
95.7,158.7,63.6,54.5,1985,92.0,3.05,3.03,9.0,62.0,4800.0,35,39,5348.0,10527.604402143774,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
95.7,158.7,63.6,54.5,2040,92.0,3.05,3.03,9.0,62.0,4800.0,31,38,6338.0,10527.604402143774,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
95.7,169.7,63.6,59.1,2280,92.0,3.05,3.03,9.0,62.0,4800.0,31,37,6918.0,10527.604402143774,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
95.7,169.7,63.6,59.1,3110,92.0,3.05,3.03,9.0,62.0,4800.0,27,32,8778.0,10527.604402143774,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
95.7,166.3,64.4,52.8,2109,98.0,3.19,3.03,9.0,70.0,4800.0,30,37,7198.0,10527.604402143774,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
95.7,166.3,64.4,53.0,2275,110.0,3.27,3.35,9.0,56.0,4500.0,34,36,7898.0,10527.604402143774,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
95.7,166.3,64.4,52.8,2275,110.0,3.27,3.35,9.0,56.0,4500.0,38,47,7788.0,10527.604402143774,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
95.7,166.3,64.4,53.0,2094,98.0,3.19,3.03,9.0,70.0,4800.0,38,47,7738.0,10527.604402143774,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
